Gender,Age,Class,Section,Math_Score,Science_Score,English_Score,Attendance_Percentage,Study_Hours_per_Week,Internet_Access,Parental_Education,Family_Income,Extracurricular_Participation,Health_Issues,Assignment_Submission_Rate,Result,Exam_Year,Exam_Month,Exam_date,Exam_DayofWeek,Family_Income_log
unknown,16.0,12,A,84.0,8.0,2.0,71.82,31.0,no,post_graduate,90000.0,sometimes,not_reported,0.61,fail,2023.0,June,27.0,Tuesday,11.407576060361786
unknown,16.0,12,C,85.0,16.0,68.0,66.6,20.0,no,not_reported,35000.0,no,depression,0.32,fail,2022.0,April,21.0,Thursday,10.463131911491967
unknown,17.0,10,B,65.0,54.0,93.0,90.15,29.0,no,not_reported,95000.0,sometimes,asthma,0.19,pass,2023.0,August,9.0,Wednesday,11.461642696843066
female,16.0,12,C,62.0,80.0,67.0,83.34,20.0,no,not_reported,110000.0,sometimes,asthma,0.96,fail,2022.0,April,15.0,Friday,11.608244735642321
female,17.0,11,A,28.0,30.0,95.0,75.81,1.0,yes,post_graduate,190000.0,no,not_reported,0.84,pass,2018.0,April,17.0,Tuesday,12.154784614286667
female,17.0,11,C,93.0,37.0,5.0,95.86,14.0,yes,graduate,9999999.0,sometimes,not_reported,0.64,fail,2025.0,June,5.0,Thursday,16.11809565095832
unknown,17.0,11,B,69.0,45.0,78.0,64.94,33.0,no,not_reported,140000.0,sometimes,depression,0.63,fail,2020.0,January,31.0,Friday,11.849404844423074
unknown,17.0,11,B,49.0,79.0,35.0,81.23,4.0,no,not_reported,170000.0,no,not_reported,0.99,pass,2019.0,February,9.0,Saturday,12.04355959836804
female,17.0,11,B,28.0,63.0,33.0,72.88,32.0,no,graduate,170000.0,yes,diabetes,0.71,fail,2023.0,June,14.0,Wednesday,12.04355959836804
female,16.0,12,D,69.0,77.0,0.0,42.31,20.0,yes,post_graduate,115000.0,no,asthma,0.6,pass,2023.0,July,23.0,Sunday,11.652696102959753
female,16.0,12,C,18.0,3.0,68.0,73.16,12.0,no,post_graduate,70000.0,sometimes,not_reported,0.19,fail,2024.0,June,18.0,Thursday,11.156264806643742
female,17.0,11,A,46.0,42.0,87.0,63.73,29.0,no,not_reported,105000.0,no,asthma,1.0,fail,2020.0,September,7.0,Monday,11.561725152903833
male,16.0,12,A,71.0,10.0,27.0,56.65,36.0,no,not_reported,60000.0,no,not_reported,0.88,pass,2024.0,June,13.0,Thursday,11.002116507732017
unknown,17.0,10,B,93.0,32.0,32.0,81.97,20.0,yes,post_graduate,190000.0,no,asthma,0.0,fail,2020.0,July,22.0,Wednesday,12.154784614286667
male,17.0,11,C,23.0,33.0,92.0,45.21,0.0,yes,not_reported,90000.0,sometimes,diabetes,0.38,fail,2021.0,July,24.0,Saturday,11.407576060361786
unknown,16.0,12,A,48.0,92.0,9.0,55.54,1.0,no,post_graduate,80000.0,yes,anxiety,0.39,pass,2019.0,January,12.0,Saturday,11.289794413577894
male,16.0,12,A,95.0,34.0,34.0,63.6,20.0,yes,graduate,55000.0,no,anxiety,0.51,fail,2021.0,July,21.0,Wednesday,10.915106645867503
unknown,16.0,12,D,78.0,84.0,77.0,88.58,21.0,yes,not_reported,180000.0,yes,not_reported,0.67,pass,2023.0,March,23.0,Thursday,12.100717685412471
male,17.0,12,B,53.0,78.0,18.0,85.7,18.0,yes,graduate,145000.0,no,not_reported,0.95,pass,2019.0,August,15.0,Thursday,11.884495917930655
female,16.0,12,C,60.0,23.0,77.0,66.06,21.0,yes,graduate,45000.0,sometimes,not_reported,0.49,fail,2025.0,November,21.0,Friday,10.714439990727769
female,17.0,11,A,98.0,48.0,50.0,55.76,18.0,no,graduate,85000.0,yes,not_reported,0.42,fail,2024.0,November,20.0,Wednesday,11.350418300109132
female,18.0,11,A,34.0,100.0,54.0,63.06,11.0,no,not_reported,170000.0,yes,not_reported,0.09,pass,2023.0,May,7.0,Sunday,12.04355959836804
male,17.0,11,A,74.0,79.0,85.0,77.05,9.0,no,post_graduate,95000.0,no,not_reported,0.5,fail,2023.0,July,10.0,Monday,11.461642696843066
female,17.0,11,A,62.0,57.0,55.0,45.43,18.0,yes,post_graduate,75000.0,no,not_reported,0.8,fail,2021.0,September,19.0,Sunday,11.225256725762893
female,17.0,11,A,46.0,10.0,70.0,81.81,38.0,no,graduate,20000.0,no,not_reported,0.7,fail,2026.0,January,1.0,Thursday,9.90353755128617
male,17.0,11,D,84.0,76.0,79.0,65.16,8.0,yes,graduate,45000.0,sometimes,not_reported,0.95,fail,2021.0,September,7.0,Tuesday,10.714439990727769
male,15.0,11,C,56.0,92.0,14.0,94.98,20.0,yes,not_reported,190000.0,sometimes,not_reported,0.57,pass,2019.0,October,28.0,Monday,12.154784614286667
female,17.0,11,B,30.0,32.0,95.0,72.18,10.0,no,not_reported,160000.0,sometimes,diabetes,0.08,fail,2023.0,October,7.0,Saturday,11.982935344196433
male,15.0,12,B,14.0,72.0,90.0,96.41,20.0,no,high_school,45000.0,yes,not_reported,0.62,fail,2018.0,November,18.0,Sunday,10.714439990727769
unknown,15.0,11,B,16.0,22.0,9.0,98.81,10.0,no,high_school,20000.0,yes,diabetes,0.27,fail,2021.0,February,14.0,Sunday,9.90353755128617
male,17.0,11,D,24.0,63.0,10.0,51.63,18.0,no,graduate,165000.0,yes,not_reported,0.12,fail,2019.0,August,9.0,Friday,12.013706813470414
male,18.0,11,B,24.0,97.0,72.0,49.89,0.0,yes,high_school,105000.0,no,anxiety,0.57,fail,2023.0,March,8.0,Wednesday,11.561725152903833
female,17.0,11,D,70.0,85.0,87.0,70.65,2.0,yes,not_reported,190000.0,sometimes,not_reported,0.44,fail,2020.0,October,5.0,Monday,12.154784614286667
unknown,16.0,12,B,35.0,56.0,9.0,55.4,20.0,yes,post_graduate,30000.0,sometimes,not_reported,0.21,fail,2021.0,April,23.0,Friday,10.308985993422082
female,16.0,12,D,100.0,62.0,69.0,79.09,21.0,no,not_reported,80000.0,sometimes,not_reported,0.36,pass,2019.0,March,4.0,Monday,11.289794413577894
male,17.0,11,B,87.0,87.0,41.0,65.69,36.0,yes,not_reported,145000.0,sometimes,depression,0.44,fail,2021.0,March,2.0,Tuesday,11.884495917930655
unknown,17.0,11,D,92.0,43.0,50.0,64.74,7.0,no,not_reported,95000.0,no,anxiety,0.29,pass,2021.0,October,16.0,Saturday,11.461642696843066
female,17.0,10,B,31.0,74.0,63.0,90.1,20.0,yes,not_reported,40000.0,yes,depression,0.01,pass,2019.0,June,24.0,Monday,10.596659732783579
female,18.0,11,B,63.0,45.0,59.0,60.52,32.0,no,post_graduate,120000.0,sometimes,diabetes,0.96,fail,2020.0,November,29.0,Sunday,11.695255355062795
female,16.0,12,B,63.0,8.0,41.0,96.18,26.0,yes,graduate,145000.0,sometimes,not_reported,0.01,fail,2022.0,September,18.0,Sunday,11.884495917930655
male,15.0,11,A,36.0,42.0,86.0,48.97,34.0,no,graduate,115000.0,sometimes,not_reported,0.85,pass,2021.0,December,10.0,Friday,11.652696102959753
female,16.0,12,C,72.0,76.0,10.0,91.23,20.0,yes,high_school,15000.0,sometimes,not_reported,0.53,pass,2019.0,October,29.0,Tuesday,9.61587214452889
male,16.0,11,B,36.0,11.0,90.0,51.95,17.0,yes,graduate,25000.0,yes,not_reported,0.17,pass,2021.0,December,26.0,Sunday,10.12667110305036
female,17.0,10,B,77.0,24.0,39.0,67.57,2.0,yes,high_school,140000.0,sometimes,not_reported,0.87,fail,2020.0,December,20.0,Sunday,11.849404844423074
unknown,16.0,11,C,4.0,23.0,84.0,57.87,2.0,no,post_graduate,95000.0,yes,not_reported,0.43,fail,2022.0,June,20.0,Monday,11.461642696843066
male,18.0,10,A,49.0,1.0,3.0,78.28,9.0,yes,not_reported,150000.0,no,not_reported,0.78,pass,2025.0,August,27.0,Wednesday,11.918397239722838
unknown,17.0,11,A,87.0,90.0,17.0,55.62,24.0,yes,graduate,120000.0,sometimes,asthma,0.46,pass,2018.0,January,24.0,Wednesday,11.695255355062795
female,17.0,11,A,39.0,46.0,28.0,77.05,16.0,no,post_graduate,165000.0,sometimes,diabetes,0.08,fail,2020.0,July,18.0,Saturday,12.013706813470414
male,16.0,12,D,76.0,76.0,23.0,44.44,26.0,yes,high_school,40000.0,yes,depression,0.97,fail,2023.0,October,15.0,Sunday,10.596659732783579
unknown,17.0,11,B,97.0,43.0,91.0,63.41,7.0,no,graduate,170000.0,yes,anxiety,0.5,fail,2019.0,January,8.0,Tuesday,12.04355959836804
male,18.0,11,D,3.0,86.0,58.0,82.67,33.0,yes,post_graduate,180000.0,sometimes,anxiety,0.61,pass,2023.0,October,27.0,Friday,12.100717685412471
female,16.0,12,B,10.0,98.0,79.0,89.74,20.0,no,not_reported,185000.0,no,not_reported,0.35,fail,2025.0,April,6.0,Sunday,12.128116509451258
male,17.0,11,C,83.0,88.0,97.0,41.07,32.0,yes,graduate,165000.0,yes,asthma,0.44,pass,2022.0,October,2.0,Sunday,12.013706813470414
female,17.0,11,A,47.0,59.0,71.0,89.91,35.0,yes,graduate,160000.0,sometimes,anxiety,0.51,pass,2023.0,July,30.0,Sunday,11.982935344196433
female,17.0,11,B,78.0,16.0,76.0,71.36,20.0,no,high_school,40000.0,sometimes,not_reported,0.45,pass,2018.0,October,24.0,Wednesday,10.596659732783579
male,17.0,11,B,60.0,11.0,48.0,64.21,29.0,no,not_reported,120000.0,sometimes,not_reported,0.47,fail,2023.0,January,16.0,Monday,11.695255355062795
male,17.0,11,B,53.0,95.0,50.0,47.44,35.0,yes,not_reported,55000.0,sometimes,not_reported,0.07,pass,2023.0,September,18.0,Monday,10.915106645867503
female,16.0,12,D,30.0,80.0,13.0,62.93,32.0,no,post_graduate,40000.0,sometimes,asthma,0.23,pass,2018.0,July,30.0,Monday,10.596659732783579
male,17.0,11,D,29.0,12.0,34.0,98.94,37.0,yes,not_reported,180000.0,sometimes,asthma,0.58,fail,2021.0,December,10.0,Friday,12.100717685412471
female,17.0,11,B,26.0,69.0,82.0,51.46,7.0,yes,not_reported,80000.0,no,depression,0.73,pass,2025.0,July,28.0,Monday,11.289794413577894
female,16.0,12,B,60.0,7.0,10.0,53.3,11.0,no,graduate,50000.0,yes,not_reported,0.02,pass,2018.0,March,5.0,Monday,10.819798284210286
unknown,17.0,11,B,68.0,73.0,47.0,87.35,13.0,yes,not_reported,40000.0,sometimes,not_reported,0.68,pass,2020.0,January,10.0,Friday,10.596659732783579
female,16.0,12,A,46.0,97.0,21.0,79.73,18.0,yes,not_reported,55000.0,no,depression,0.66,pass,2019.0,July,7.0,Sunday,10.915106645867503
female,16.0,11,B,29.0,65.0,45.0,84.27,12.0,yes,post_graduate,140000.0,sometimes,diabetes,0.53,pass,2021.0,November,21.0,Sunday,11.849404844423074
unknown,16.0,12,A,47.0,50.0,66.0,52.21,20.0,no,not_reported,95000.0,sometimes,depression,0.83,pass,2025.0,October,20.0,Monday,11.461642696843066
male,17.0,12,D,63.0,33.0,65.0,52.09,20.0,no,not_reported,130000.0,no,diabetes,0.0,pass,2021.0,March,1.0,Monday,11.775297421715827
male,16.0,12,C,53.0,44.0,9.0,73.34,1.0,no,post_graduate,15000.0,no,asthma,0.03,fail,2019.0,April,15.0,Monday,9.61587214452889
unknown,17.0,11,C,70.0,94.0,91.0,82.49,20.0,no,not_reported,10000.0,no,asthma,0.36,pass,2024.0,April,21.0,Sunday,9.210440366976517
male,17.0,10,B,66.0,77.0,96.0,70.66,20.0,no,post_graduate,40000.0,sometimes,not_reported,0.09,pass,2024.0,February,18.0,Sunday,10.596659732783579
male,17.0,11,B,23.0,0.0,89.0,75.03,28.0,no,not_reported,50000.0,sometimes,not_reported,0.25,fail,2023.0,January,17.0,Tuesday,10.819798284210286
male,17.0,11,B,41.0,37.0,14.0,40.82,8.0,no,high_school,140000.0,sometimes,anxiety,0.0,pass,2022.0,November,20.0,Sunday,11.849404844423074
female,17.0,11,A,44.0,12.0,50.0,73.22,30.0,no,high_school,175000.0,sometimes,not_reported,0.95,pass,2024.0,June,18.0,Thursday,12.07254696717504
male,16.0,12,C,58.0,8.0,16.0,86.21,20.0,yes,high_school,130000.0,no,not_reported,0.55,fail,2019.0,September,30.0,Monday,11.775297421715827
female,17.0,11,B,73.0,33.0,60.0,80.23,25.0,no,post_graduate,15000.0,sometimes,diabetes,0.45,pass,2024.0,November,30.0,Saturday,9.61587214452889
female,17.0,11,B,76.0,28.0,90.0,44.39,10.0,no,post_graduate,180000.0,yes,asthma,0.33,pass,2021.0,November,15.0,Monday,12.100717685412471
female,18.0,12,B,6.0,12.0,16.0,69.52,5.0,yes,graduate,100000.0,sometimes,not_reported,0.61,fail,2022.0,February,13.0,Sunday,11.51293546492023
female,16.0,12,B,47.0,79.0,45.0,83.07,40.0,yes,not_reported,65000.0,no,not_reported,0.69,pass,2023.0,January,31.0,Tuesday,11.082157933374816
unknown,17.0,11,A,59.0,77.0,58.0,95.56,28.0,no,high_school,160000.0,yes,depression,0.83,fail,2022.0,January,19.0,Wednesday,11.982935344196433
unknown,17.0,11,C,61.0,83.0,54.0,46.62,38.0,yes,post_graduate,75000.0,sometimes,not_reported,0.7,pass,2022.0,May,9.0,Monday,11.225256725762893
female,18.0,12,A,76.0,70.0,56.0,58.08,29.0,yes,not_reported,165000.0,yes,asthma,0.32,fail,2020.0,December,1.0,Tuesday,12.013706813470414
female,16.0,12,A,4.0,75.0,40.0,50.23,37.0,no,not_reported,185000.0,sometimes,not_reported,0.33,pass,2021.0,May,15.0,Saturday,12.128116509451258
female,17.0,11,A,85.0,71.0,77.0,99.06,3.0,yes,not_reported,50000.0,yes,not_reported,0.65,pass,2023.0,November,24.0,Friday,10.819798284210286
male,17.0,11,C,61.0,32.0,75.0,85.48,15.0,yes,not_reported,125000.0,yes,depression,0.64,pass,2019.0,April,18.0,Thursday,11.736077016252437
female,17.0,11,A,51.0,54.0,59.0,95.14,0.0,no,graduate,60000.0,sometimes,not_reported,0.35,fail,2023.0,June,10.0,Saturday,11.002116507732017
female,17.0,11,B,94.0,83.0,55.0,92.44,7.0,yes,graduate,150000.0,sometimes,not_reported,0.77,fail,2022.0,October,23.0,Sunday,11.918397239722838
female,17.0,11,B,84.0,72.0,93.0,40.4,5.0,no,not_reported,195000.0,yes,depression,0.09,pass,2019.0,May,13.0,Monday,12.180759965737863
female,17.0,12,A,17.0,64.0,65.0,69.43,19.0,yes,not_reported,190000.0,sometimes,diabetes,0.45,pass,2018.0,April,7.0,Saturday,12.154784614286667
female,17.0,11,B,72.0,51.0,79.0,60.5,20.0,no,graduate,70000.0,sometimes,anxiety,0.49,fail,2020.0,May,18.0,Monday,11.156264806643742
male,17.0,11,A,41.0,86.0,100.0,68.91,7.0,no,not_reported,45000.0,sometimes,not_reported,0.8,fail,2018.0,December,24.0,Monday,10.714439990727769
female,17.0,10,D,78.0,49.0,35.0,62.85,4.0,no,post_graduate,9999999.0,sometimes,not_reported,0.55,fail,2023.0,October,19.0,Thursday,16.11809565095832
male,15.0,11,A,18.0,0.0,36.0,66.54,31.0,yes,high_school,55000.0,sometimes,not_reported,0.7,fail,2023.0,January,13.0,Friday,10.915106645867503
male,18.0,12,D,81.0,98.0,15.0,92.12,34.0,no,not_reported,70000.0,sometimes,anxiety,0.46,fail,2025.0,December,14.0,Sunday,11.156264806643742
female,16.0,12,A,59.0,76.0,21.0,43.14,37.0,no,not_reported,165000.0,yes,depression,0.86,pass,2023.0,August,9.0,Wednesday,12.013706813470414
male,16.0,10,C,43.0,13.0,30.0,98.85,22.0,no,not_reported,100000.0,yes,anxiety,0.96,fail,2018.0,September,18.0,Tuesday,11.51293546492023
female,17.0,11,B,3.0,50.0,98.0,99.85,4.0,no,not_reported,95000.0,sometimes,not_reported,0.34,pass,2022.0,February,2.0,Wednesday,11.461642696843066
male,18.0,12,A,2.0,99.0,73.0,40.33,20.0,no,post_graduate,110000.0,no,depression,0.07,pass,2023.0,December,25.0,Monday,11.608244735642321
unknown,17.0,11,A,94.0,18.0,6.0,84.5,20.0,no,high_school,55000.0,sometimes,not_reported,0.41,fail,2021.0,August,10.0,Tuesday,10.915106645867503
male,17.0,11,A,12.0,98.0,80.0,55.04,31.0,yes,not_reported,35000.0,sometimes,not_reported,0.29,pass,2020.0,August,7.0,Friday,10.463131911491967
male,18.0,10,D,92.0,3.0,49.0,84.67,27.0,no,post_graduate,110000.0,sometimes,diabetes,0.81,pass,2021.0,January,26.0,Tuesday,11.608244735642321
female,18.0,11,B,51.0,18.0,57.0,65.9,36.0,yes,post_graduate,190000.0,sometimes,not_reported,0.61,fail,2023.0,December,10.0,Sunday,12.154784614286667
female,17.0,11,B,9.0,13.0,86.0,61.88,2.0,no,graduate,50000.0,sometimes,not_reported,0.67,pass,2020.0,July,13.0,Monday,10.819798284210286
female,16.0,12,B,5.0,34.0,80.0,96.92,2.0,no,high_school,50000.0,sometimes,not_reported,0.26,pass,2018.0,May,31.0,Thursday,10.819798284210286
male,17.0,10,B,49.0,92.0,61.0,70.91,28.0,yes,graduate,160000.0,no,asthma,0.52,pass,2020.0,December,17.0,Thursday,11.982935344196433
male,16.0,12,C,50.0,1.0,54.0,90.41,20.0,no,graduate,190000.0,sometimes,not_reported,0.81,fail,2018.0,August,15.0,Wednesday,12.154784614286667
unknown,15.0,11,D,4.0,23.0,31.0,66.17,40.0,yes,post_graduate,125000.0,sometimes,anxiety,0.48,fail,2020.0,October,14.0,Wednesday,11.736077016252437
female,17.0,11,D,86.0,33.0,64.0,92.12,20.0,yes,not_reported,60000.0,sometimes,diabetes,0.2,fail,2024.0,November,29.0,Friday,11.002116507732017
unknown,16.0,11,C,60.0,77.0,93.0,45.75,11.0,yes,not_reported,165000.0,sometimes,not_reported,0.81,fail,2023.0,January,23.0,Monday,12.013706813470414
female,17.0,10,A,10.0,32.0,65.0,88.71,6.0,yes,graduate,45000.0,sometimes,diabetes,0.76,pass,2021.0,September,18.0,Saturday,10.714439990727769
female,16.0,12,B,42.0,6.0,17.0,71.46,8.0,yes,graduate,120000.0,no,not_reported,0.69,pass,2022.0,October,30.0,Sunday,11.695255355062795
unknown,17.0,11,B,74.0,0.0,28.0,43.09,28.0,yes,post_graduate,175000.0,yes,not_reported,0.47,fail,2025.0,September,5.0,Friday,12.07254696717504
male,15.0,11,A,42.0,92.0,75.0,45.13,8.0,yes,post_graduate,25000.0,sometimes,depression,0.28,pass,2022.0,October,15.0,Saturday,10.12667110305036
female,17.0,10,D,39.0,81.0,87.0,57.63,16.0,yes,not_reported,45000.0,yes,diabetes,0.75,fail,2025.0,December,31.0,Wednesday,10.714439990727769
unknown,16.0,12,C,87.0,81.0,22.0,77.48,20.0,yes,graduate,155000.0,yes,not_reported,0.74,fail,2020.0,February,11.0,Tuesday,11.951186847493476
female,16.0,12,A,20.0,13.0,33.0,67.54,20.0,no,not_reported,170000.0,sometimes,anxiety,0.25,pass,2023.0,February,18.0,Saturday,12.04355959836804
unknown,16.0,12,B,70.0,26.0,53.0,84.5,20.0,yes,graduate,130000.0,sometimes,not_reported,0.3,fail,2018.0,July,21.0,Saturday,11.775297421715827
unknown,17.0,11,B,78.0,88.0,35.0,72.31,36.0,yes,graduate,180000.0,sometimes,asthma,0.86,pass,2021.0,October,22.0,Friday,12.100717685412471
female,17.0,10,D,46.0,89.0,49.0,62.96,36.0,no,post_graduate,105000.0,sometimes,anxiety,0.17,fail,2024.0,June,18.0,Thursday,11.561725152903833
female,18.0,11,B,52.0,1.0,90.0,90.29,20.0,yes,not_reported,70000.0,sometimes,diabetes,0.78,pass,2024.0,April,16.0,Tuesday,11.156264806643742
unknown,17.0,11,A,57.0,76.0,34.0,83.11,20.0,no,post_graduate,20000.0,sometimes,not_reported,0.75,pass,2021.0,October,11.0,Monday,9.90353755128617
male,15.0,12,B,52.0,82.0,86.0,62.18,38.0,yes,graduate,125000.0,sometimes,not_reported,0.94,fail,2019.0,February,2.0,Saturday,11.736077016252437
female,17.0,11,B,18.0,20.0,21.0,63.43,20.0,no,graduate,155000.0,no,depression,0.57,fail,2021.0,December,19.0,Sunday,11.951186847493476
unknown,17.0,11,B,89.0,44.0,73.0,44.69,7.0,no,high_school,15000.0,yes,anxiety,0.51,pass,2023.0,July,19.0,Wednesday,9.61587214452889
unknown,17.0,11,D,88.0,23.0,50.0,90.51,16.0,no,post_graduate,195000.0,sometimes,not_reported,0.18,fail,2019.0,July,8.0,Monday,12.180759965737863
male,15.0,11,A,4.0,12.0,3.0,56.63,26.0,yes,not_reported,65000.0,sometimes,not_reported,0.28,pass,2019.0,March,20.0,Wednesday,11.082157933374816
female,17.0,11,C,23.0,95.0,52.0,81.51,20.0,no,not_reported,160000.0,sometimes,not_reported,0.3,pass,2025.0,May,17.0,Saturday,11.982935344196433
female,17.0,11,B,47.0,0.0,41.0,92.17,6.0,no,graduate,150000.0,sometimes,depression,0.62,pass,2021.0,February,6.0,Saturday,11.918397239722838
female,16.0,10,B,100.0,24.0,4.0,66.01,9.0,no,high_school,185000.0,no,asthma,0.33,pass,2025.0,July,10.0,Thursday,12.128116509451258
male,17.0,10,B,78.0,20.0,45.0,41.71,36.0,no,high_school,30000.0,sometimes,not_reported,0.86,fail,2025.0,November,6.0,Thursday,10.308985993422082
male,15.0,10,C,77.0,57.0,58.0,98.58,14.0,yes,not_reported,165000.0,sometimes,not_reported,0.62,pass,2022.0,November,12.0,Saturday,12.013706813470414
male,17.0,11,B,52.0,76.0,82.0,64.67,10.0,yes,post_graduate,90000.0,sometimes,diabetes,0.11,fail,2018.0,March,31.0,Saturday,11.407576060361786
unknown,17.0,11,A,80.0,0.0,67.0,57.97,20.0,no,not_reported,105000.0,sometimes,not_reported,0.86,fail,2025.0,January,10.0,Friday,11.561725152903833
female,16.0,12,A,4.0,29.0,82.0,40.03,20.0,no,post_graduate,105000.0,sometimes,not_reported,0.3,pass,2020.0,October,27.0,Tuesday,11.561725152903833
male,17.0,11,A,14.0,59.0,19.0,73.68,20.0,no,high_school,85000.0,sometimes,depression,0.39,fail,2020.0,May,10.0,Sunday,11.350418300109132
female,17.0,10,A,49.0,64.0,79.0,82.71,20.0,yes,post_graduate,180000.0,sometimes,diabetes,0.79,fail,2025.0,December,8.0,Monday,12.100717685412471
female,17.0,11,D,89.0,77.0,12.0,80.71,20.0,yes,graduate,90000.0,no,anxiety,0.54,pass,2022.0,March,16.0,Wednesday,11.407576060361786
female,17.0,12,B,92.0,13.0,29.0,91.19,4.0,yes,post_graduate,20000.0,no,depression,0.41,fail,2020.0,June,11.0,Thursday,9.90353755128617
female,17.0,11,B,16.0,63.0,14.0,49.68,17.0,yes,graduate,20000.0,yes,not_reported,0.63,pass,2024.0,April,29.0,Monday,9.90353755128617
unknown,17.0,11,A,35.0,83.0,74.0,42.18,11.0,no,graduate,100000.0,no,not_reported,0.88,pass,2024.0,March,11.0,Monday,11.51293546492023
male,16.0,12,B,25.0,90.0,28.0,40.67,36.0,no,not_reported,140000.0,sometimes,depression,0.5,pass,2021.0,February,25.0,Thursday,11.849404844423074
female,17.0,11,B,60.0,51.0,5.0,95.19,37.0,yes,graduate,65000.0,sometimes,not_reported,0.93,fail,2025.0,January,6.0,Monday,11.082157933374816
male,17.0,11,A,88.0,37.0,0.0,53.64,31.0,yes,not_reported,15000.0,no,depression,0.0,pass,2019.0,July,29.0,Monday,9.61587214452889
female,16.0,12,A,52.0,67.0,74.0,77.19,32.0,no,not_reported,160000.0,no,not_reported,0.33,pass,2021.0,November,1.0,Monday,11.982935344196433
unknown,17.0,11,D,5.0,40.0,10.0,73.83,36.0,yes,graduate,75000.0,sometimes,not_reported,0.01,fail,2018.0,October,10.0,Wednesday,11.225256725762893
male,17.0,11,B,42.0,17.0,22.0,75.15,32.0,no,graduate,100000.0,no,not_reported,0.52,fail,2019.0,April,6.0,Saturday,11.51293546492023
unknown,16.0,12,D,4.0,29.0,76.0,60.13,20.0,yes,graduate,160000.0,sometimes,anxiety,0.63,pass,2023.0,October,6.0,Friday,11.982935344196433
male,15.0,11,B,36.0,75.0,60.0,43.74,20.0,no,post_graduate,75000.0,no,diabetes,0.41,pass,2020.0,December,24.0,Thursday,11.225256725762893
female,17.0,10,D,36.0,84.0,15.0,70.18,35.0,yes,graduate,20000.0,sometimes,anxiety,0.08,pass,2024.0,November,1.0,Friday,9.90353755128617
female,17.0,11,A,55.0,70.0,63.0,81.42,32.0,yes,high_school,10000.0,sometimes,not_reported,0.22,fail,2025.0,February,6.0,Thursday,9.210440366976517
unknown,16.0,12,B,78.0,27.0,28.0,49.88,39.0,no,graduate,135000.0,no,diabetes,0.92,pass,2019.0,September,18.0,Wednesday,11.813037464800539
male,17.0,11,B,26.0,42.0,100.0,56.8,20.0,yes,post_graduate,180000.0,sometimes,not_reported,0.5,pass,2022.0,February,7.0,Monday,12.100717685412471
unknown,17.0,10,B,50.0,24.0,12.0,43.7,35.0,no,post_graduate,90000.0,sometimes,not_reported,0.43,pass,2019.0,April,10.0,Wednesday,11.407576060361786
unknown,16.0,12,B,61.0,19.0,42.0,58.02,25.0,no,post_graduate,100000.0,sometimes,anxiety,0.79,fail,2018.0,December,8.0,Saturday,11.51293546492023
male,17.0,11,A,76.0,87.0,38.0,99.59,16.0,yes,not_reported,150000.0,yes,not_reported,0.18,fail,2024.0,April,14.0,Sunday,11.918397239722838
female,16.0,10,D,34.0,94.0,2.0,58.55,36.0,yes,post_graduate,10000.0,sometimes,not_reported,0.49,pass,2020.0,November,22.0,Sunday,9.210440366976517
unknown,17.0,11,A,47.0,4.0,78.0,76.8,28.0,yes,post_graduate,9999999.0,yes,not_reported,0.09,pass,2022.0,June,13.0,Monday,16.11809565095832
male,16.0,12,D,88.0,0.0,66.0,57.78,20.0,yes,not_reported,15000.0,yes,not_reported,0.37,pass,2022.0,February,14.0,Monday,9.61587214452889
unknown,17.0,11,A,40.0,1.0,59.0,68.01,20.0,no,post_graduate,165000.0,sometimes,not_reported,0.4,fail,2022.0,March,31.0,Thursday,12.013706813470414
female,16.0,12,B,39.0,65.0,22.0,62.87,16.0,yes,not_reported,15000.0,no,not_reported,0.62,fail,2023.0,May,7.0,Sunday,9.61587214452889
male,17.0,11,C,30.0,37.0,98.0,75.56,31.0,yes,post_graduate,80000.0,yes,depression,0.64,fail,2020.0,May,22.0,Friday,11.289794413577894
female,16.0,12,B,54.0,24.0,31.0,56.79,23.0,no,post_graduate,150000.0,sometimes,not_reported,0.96,pass,2025.0,May,28.0,Wednesday,11.918397239722838
male,16.0,12,C,4.0,32.0,12.0,83.86,10.0,yes,high_school,25000.0,no,diabetes,0.64,fail,2022.0,November,14.0,Monday,10.12667110305036
unknown,17.0,11,C,39.0,25.0,50.0,57.69,20.0,no,not_reported,15000.0,sometimes,not_reported,0.24,fail,2019.0,October,3.0,Thursday,9.61587214452889
unknown,17.0,10,B,6.0,58.0,71.0,75.23,5.0,no,graduate,155000.0,yes,not_reported,0.14,pass,2025.0,November,25.0,Tuesday,11.951186847493476
female,16.0,12,B,54.0,76.0,23.0,68.53,31.0,no,not_reported,155000.0,no,not_reported,0.94,fail,2019.0,February,17.0,Sunday,11.951186847493476
unknown,17.0,11,C,25.0,80.0,29.0,58.92,16.0,yes,not_reported,140000.0,sometimes,anxiety,0.22,pass,2025.0,April,28.0,Monday,11.849404844423074
unknown,17.0,12,B,61.0,99.0,62.0,84.52,31.0,yes,not_reported,100000.0,sometimes,diabetes,0.61,fail,2018.0,January,31.0,Wednesday,11.51293546492023
unknown,18.0,12,B,16.0,38.0,91.0,80.41,13.0,yes,high_school,125000.0,sometimes,asthma,0.81,pass,2024.0,September,25.0,Wednesday,11.736077016252437
female,16.0,12,C,38.0,46.0,43.0,72.36,38.0,yes,post_graduate,20000.0,sometimes,not_reported,0.34,fail,2023.0,July,13.0,Thursday,9.90353755128617
